MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,MP_Mode,Length,Width,Draft,Cargo,TransceiverClass,VesselID
564702000,2025-09-05T15:39:04,18.23263062333843,-64.98212238367684,0,0,2.1002267210137218,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:04,18.258325962152558,-64.97736088250093,0,0,-1.83490663030254,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:05,18.254516020664948,-64.97630304227624,0,0,0.0726369589580718,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:05,18.23264175224459,-64.98212823575682,0,0,2.1104688108528062,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:05,18.258314818680358,-64.97736697347315,0,0,-1.761671072366535,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:06,18.254514942108425,-64.9762943085868,0,0,0.105093095560632,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:06,18.23264916467901,-64.98213207507537,0,0,2.118550814018766,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:06,18.25830716538001,-64.9773707789458,0,0,-1.686083998399312,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:07,18.2545138733345,-64.97628116865486,0,0,0.11071325832036141,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:07,18.232660234889927,-64.98213802305958,0,0,2.1186697677110087,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:07,18.258295354519458,-64.97737574038636,0,0,-1.6650429058196352,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:08,18.254513519253226,-64.97627242112026,0,0,0.09791934821422589,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:08,18.232667508661212,-64.98214225335809,0,0,2.112358540598463,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:08,18.25828737998576,-64.97737827937732,0,0,-1.675164893922335,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:09,18.254513422846692,-64.97625933404376,0,0,0.07944695004018379,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:09,18.232678337044664,-64.9821486980425,0,0,2.10539731030896,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:09,18.25827522748443,-64.97738160095082,0,0,-1.7035547876955428,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:10,18.254513554402756,-64.97625061640072,0,0,0.045882924713588666,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:10,18.23268557968648,-64.98215292759217,0,0,2.093914901400637,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:10,18.258267096611455,-64.97738337208904,0,0,-1.7625999478774321,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:11,18.254513856836454,-64.97623755306604,0,0,0.02477727634239559,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:11,18.23269642655101,-64.98215940838891,0,0,2.087330966250518,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:11,18.2582548631173,-64.9773856865095,0,0,-1.8032769935677122,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:12,18.254514030522426,-64.97622886516253,0,0,0.0019930803957906662,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:12,18.23270362114689,-64.98216382820117,0,0,2.0812173155176548,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:12,18.258246636977855,-64.97738741460952,0,0,-1.8528031423761178,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:13,18.254514139617406,-64.97621584793433,0,0,-0.005093439160636736,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:13,18.232714471418006,-64.982170215395,0,0,2.080207213291008,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:13,18.2582344645167,-64.97739004032309,0,0,-1.8728569884241848,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:14,18.25451408587153,-64.97620716548442,0,0,-0.00359310055121126,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:14,18.232721760366825,-64.98217430561284,0,0,2.0826274961878766,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:14,18.258226416419895,-64.97739201135722,0,0,-1.8806296247232412,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:15,18.254513838161227,-64.97619415188613,0,0,0.003771817904163763,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:15,18.232732660151942,-64.9821805612238,0,0,2.0859097163651428,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:15,18.258214358474028,-64.9773955329248,0,0,-1.8725623590879175,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:16,18.254513602275086,-64.97618548945859,0,0,0.01997202990601593,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:16,18.232739904377937,-64.98218479941747,0,0,2.0915399750367145,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:16,18.258206453143426,-64.97739792692582,0,0,-1.84676157366794,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:17,18.25451322889294,-64.97617247906892,0,0,0.03144904578438757,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:17,18.232750833913247,-64.98219099756327,0,0,2.094799705023115,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:17,18.258194572896066,-64.97740185729894,0,0,-1.825451632823825,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:18,18.25451304625878,-64.97616520747994,0,0,0.04566421441534882,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:18,18.232756930392235,-64.98219444562457,0,0,2.0979214839621454,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:18,18.2581879331284,-64.97740414647878,0,0,-1.795605179360716,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:19,18.25451281070624,-64.97615071731587,0,0,0.05161249745678706,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:19,18.23276896850062,-64.98220162828132,0,0,2.098727036363147,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:19,18.258174754357768,-64.97740834948789,0,0,-1.7806454822254785,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:20,18.254512773744214,-64.97614201321744,0,0,0.05433567721876876,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:20,18.232776179776092,-64.98220600172282,0,0,2.098331315053775,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
